SerialNo,PartyID,SymbolID,SymbolName,PoliticalPartyName,DistrictCd,DistrictName,StateID,SCConstID,CenterConstID,OrderID,TotalVoteReceived
1214,38,2526,गोलो घेराभित्र दुई पात भएको गुलाफको फूल,नेपाल कम्युनिस्ट पार्टी (माओवादी),10,,1,0,3,38,81
1215,19,2521,गितार,संयुक्त नागरिक पार्टी,10,,1,0,3,19,67
1216,28,2571,ब्याट्री,गतिशील लोकतान्त्रिक पार्टी,10,,1,0,3,28,54
1217,41,2534,चापाकल (ट्‍युवेल),"राष्ट्रिय उर्जाशील पार्टी, नेपाल",10,,1,0,3,41,52
1218,27,2548,"तुलसी, मठ",राष्ट्रिय एकता दल,10,,1,0,3,27,46
1219,54,2581,मोबाइल,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),10,,1,0,3,54,40
1220,49,2591,षटकोण,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",10,,1,0,3,49,39
1221,10,2522,गिलास,राष्ट्रिय जनमोर्चा,10,,1,0,3,10,34
1222,22,2551,दायाँ हातले समातेको मसाल,राष्ट्रिय जनता पार्टी नेपाल,10,,1,0,3,22,34
1223,18,2507,कमलको फूल,नेपाल जनता पार्टी,10,,1,0,3,18,34
1224,12,2553,दुई हात जोडेको नमस्कार,नेपाल लोकतान्त्रिक पार्टी,10,,1,0,3,12,33
1225,26,2550,दाप सहितको खुकुरी,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,10,,1,0,3,26,30
1226,14,2536,जग,बहुजन शक्ति पार्टी,10,,1,0,3,14,28
1227,25,2523,गैँती,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),10,,1,0,3,25,25
1228,17,2602,हँसिया र तारा,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),10,,1,0,3,17,25
1229,40,2605,हात मिलाएको,राष्ट्रिय जनमुक्ति पार्टी,10,,1,0,3,40,24
1230,47,2558,पाँचमुखे रुद्राक्षको दाना,राष्ट्रिय गौरव पार्टी,10,,1,0,3,47,24
1231,13,2511,कुखुराको भाले,मंगोल नेशनल अर्गनाइजेशन,10,,1,0,3,13,23
1232,48,2509,करूवा,नेपाली काँग्रेस (वी.पी.),10,,1,0,3,48,23
1233,30,2524,गोलाकार भित्र शङ्‌ख,नेपालका लागि नेपाली पार्टी,10,,1,0,3,30,22
1234,36,2549,त्रिशुल,"नागरिक शक्ति, नेपाल",10,,1,0,3,36,19
1235,42,2595,सिट्ठी,नेपाली जनता दल,10,,1,0,3,42,18
1236,46,2567,बस,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),10,,1,0,3,46,18
1237,44,2582,रथ,प्रजातान्त्रिक पार्टी नेपाल,10,,1,0,3,44,17
1238,58,2574,भैँसी,"जनता लोकतान्त्रिक पार्टी, नेपाल",10,,1,0,3,58,17
1239,45,2565,बलिरहेको दियो,नेपाल मातृभूमि पार्टी,10,,1,0,3,45,17
1240,15,2555,पञ्जा छाप,नेपाल सद्‍भावना पार्टी,10,,1,0,3,15,16
1241,35,2569,बाली बोकेको महिलाको आकृति,स्वाभिमान पार्टी,10,,1,0,3,35,12
1242,33,2510,काखमा बच्चा लिएको आमा,जय मातृभूमि पार्टी,10,,1,0,3,33,12
1243,55,2552,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,पिपुल फर्ष्ट पार्टी,10,,1,0,3,55,12
1244,20,2529,घर,नेपाल जनमुक्ति पार्टी,10,,1,0,3,20,11
1245,32,2504,उडिरहेको माहुरी,नेशनल रिपब्लिक नेपाल,10,,1,0,3,32,11
1246,21,2601,हँसिया,नेपाल कम्युनिष्ट पार्टी (संयुक्त),10,,1,0,3,21,10
1247,57,2540,डुङ्‌गा,जन अधिकार पार्टी,10,,1,0,3,57,10
1248,31,2564,बज्र,जनप्रिय लोकतान्त्रिक पार्टी,10,,1,0,3,31,8
1249,53,2590,श्रीवत्स समृद्धिको प्रतीक,समावेशी समाजवादी पार्टी,10,,1,0,3,53,7
1250,37,2530,घोडा,मितेरी पार्टी नेपाल,10,,1,0,3,37,7
1251,29,2579,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,नेपाली जनश्रमदान संस्कृति पार्टी,10,,1,0,3,29,6
1252,43,2505,ओदान,त्रिमुल नेपाल,10,,1,0,3,43,5
1253,52,2515,खुला किताब,उन्‍नत लोकतन्त्र पार्टी,10,,1,0,3,52,2
1254,56,2537,जगर भएको सिंह,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),10,,1,0,3,56,1
1255,4,2528,घण्टी,राष्ट्रिय स्वतन्त्र पार्टी,10,,1,0,4,4,42311
1256,2,2583,रुख,नेपाली काँग्रेस,10,,1,0,4,2,16482
1257,1,2598,सुर्य,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),10,,1,0,4,1,8069
1258,34,2501,अँजुलीमा रहेको माटो,श्रम संस्कृति पार्टी,10,,1,0,4,34,3264
1259,3,2557,पाँचकुने तारा,नेपाली कम्युनिष्ट पार्टी,10,,1,0,4,3,2714
1260,5,2604,हलो,राष्ट्रिय प्रजातन्त्र पार्टी,10,,1,0,4,5,2167
